"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"1","MALAD_N","Maladière",1,"A",1,164557.94,0
"2","MTOIE_E","Montoie",1,"A",2,136236.56,12705.398
"3","BATEL_E","Batelière",1,"A",3,203045.16,13408.996
"4","RTCOU_E","Riant-Cour",1,"A",4,156015.38,24909.395
"5","CEDRE_E","Cèdres",1,"A",5,164056.73,13870.551
"6","BGARD_E","Beauregard",1,"A",6,186593.03,33794.77
"7","COUR_N ","Cour",1,"A",7,90915.2,35646.543
"8","DPLES_N","Dapples",1,"A",8,64682.152,23981.127
"9","EPTES_N","Epinettes",1,"A",9,96457.58,52692.715
"10","GARE_N ","Lausanne-Gare",1,"A",10,808822.4,597258.44
"11","MIRAB_N","Mirabeau",1,"A",11,51382.688,71936.75
"12","GTE_N  ","Georgette",1,"A",12,107652.41,464363.06
"13","SF_O   ","St-François",1,"A",13,265921.88,314327.72
"14","B-AIR_N","Bel-Air",1,"A",14,462329.7,223588.66
"15","RNEUV_N","Rue Neuve",1,"A",15,511095.2,99291.72
"16","VAL_N  ","Valentin",1,"A",16,93568.19,121368.69
"17","DRCOL_N","Druey-Collège",1,"A",17,42125.08,402685.12
"18","OIS_N  ","Oiseaux",1,"A",18,50781.4,275775.94
"19","CAS_W  ","Casernes",1,"A",19,68664.03,175742.8
"20","SO_N   ","Stade Olympique",1,"A",20,14205.849,128370.01
"21","VELOD_N","Parc Vélodrome",1,"A",21,3997.4219,142700.7
"22","BGENT_N","Bois-Gentil",1,"A",22,4931.118,248882.44
"23","BLECH_E","Blécherette",1,"A",23,0,279523.5
"24","BLECH_E","Blécherette",1,"R",1,312235.34,0
"25","BGENT_S","Bois-Gentil",1,"R",2,220668.69,10466.65
"26","VELOD_S","Parc Vélodrome",1,"R",3,130089.74,12243.907
"27","SO_S   ","Stade Olympique",1,"R",4,74949.16,27834.672
"28","CAS_S  ","Casernes",1,"R",5,148703.6,60124.64
"29","DRUEY_S","Druey",1,"R",6,100823.79,12012.645
"30","DRCOL_S","Druey-Collège",1,"R",7,210037.55,28818.518
"31","VAL_S  ","Valentin",1,"R",8,45303.96,60278.508
"32","RNEUV_S","Rue Neuve",1,"R",9,27915.418,381328.84
"33","B-AIR_D","Bel-Air",1,"R",10,121628.79,283867.84
"34","SF_S   ","St-François",1,"R",11,198148.11,180230.6
"35","GTE_D  ","Georgette",1,"R",12,245477.4,66478.266
"36","RASUD_O","Rasude",1,"R",13,20651.34,37438.477
"37","GARE_S ","Lausanne-Gare",1,"R",14,480689,345354.6
"38","EPTES_S","Epinettes",1,"R",15,42450.336,65209.926
"39","DPLES_S","Dapples",1,"R",16,31783.238,59169.297
"40","BGARD_S","Beauregard",1,"R",17,37258.89,157524.72
"41","CEDRE_O","Cèdres",1,"R",18,15224.168,148674.52
"42","RTCOU_O","Riant-Cour",1,"R",19,23633.871,132201.42
"43","BATEL_O","Batelière",1,"R",20,13706.725,168884.52
"44","MTOIE_O","Montoie",1,"R",21,4259.366,128254.94
"45","MALAD_N","Maladière",1,"R",22,0,146797.39
"46","MALL_E ","Maladière-Lac",2,"A",1,111774.36,0
"47","TVIDY_E","Théâtre de Vidy",2,"A",2,136311.06,8191.4043
"48","BVE_E  ","Bellerive",2,"A",3,93917.67,12881.02
"49","PECH_E ","Pêcheurs",2,"A",4,74734.375,11253.256
"50","OUCHY_E","Ouchy-Olympique",2,"A",5,61026.63,42647.344
"51","B-RIV_N","Beau-Rivage",2,"A",6,30680.855,7290.165
"52","JDILS_N","Jordils",2,"A",7,13322.152,6564.9375
"53","CX-OY_N","Croix d'Ouchy",2,"A",8,108658.97,23061.941
"54","MTFLI_N","Mont-Fleuri",2,"A",9,36845.125,19953.398
"55","CLOSL_N","Closelet",2,"A",10,121837.484,58235.098
"56","MIRAB_N","Mirabeau",2,"A",11,31646.148,32387.047
"57","GTE_N  ","Georgette",2,"A",12,74336.734,151193.31
"58","SF_O   ","St-François",2,"A",13,192401.05,170814.97
"59","B-AIR_N","Bel-Air",2,"A",14,234351.48,132294
"60","RNEUV_N","Rue Neuve",2,"A",15,306419.3,61853.1
"61","VAL_N  ","Valentin",2,"A",16,42720.996,65873.92
"62","VINET_O","Vinet",2,"A",17,29010.13,120734.86
