"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out"
"S1_A_MALAD_N","Maladière",1,"A",164558.14,0,90.3112916908514,426.9982799,164757.870872727,0
"S1_A_MTOIE_E","Montoie",1,"A",136236.45,12705.396,83.5486188584944,35.4313747,136436.180872727,12505.6651272727
"S1_A_BATEL_E","Batelière",1,"A",203045.03,13408.982,59.2910604302419,30.7762506,203244.760872727,13209.2511272727
"S1_A_RTCOU_E","Riant-Cour",1,"A",156015.31,24909.402,56.8912267392565,31.8969919,156215.040872727,24709.6711272727
"S1_A_CEDRE_E","Cèdres",1,"A",164056.86,13870.56,82.071834961025,44.5824892,164256.590872727,13670.8291272727
"S1_A_BGARD_E","Beauregard",1,"A",186592.9,33794.758,64.187337166472,37.2596766,186792.630872727,33595.0271272727
"S1_A_COUR_N","Cour",1,"A",90915.1,35646.535,43.4625960372018,31.0705013,91114.8308727273,35446.8041272727
"S1_A_DPLES_N","Dapples",1,"A",64682.2,23981.102,66.194693044434,28.3212922,64881.9308727273,23781.3711272727
"S1_A_EPTES_N","Epinettes",1,"A",96457.59,52692.742,128.645801697186,45.161833,96657.3208727273,52493.0111272727
"S1_A_GARE_N","Lausanne-Gare",1,"A",808822.4,597259.1,126.641971495389,83.9685379,809022.130872727,597059.369127273
"S1_A_MIRAB_N","Mirabeau",1,"A",51382.758,71936.69,98.6104213446044,32.5221286,51582.4888727273,71736.9591272727
"S1_A_GTE_N","Georgette",1,"A",107652.36,464362.8,165.94081394581,63.1915863,107852.090872727,464163.069127273
"S1_A_SF_O","St-François",1,"A",265922.03,314327.84,140.827136465324,75.9566174,266121.760872727,314128.109127273
"S1_A_B-AIR_N","Bel-Air",1,"A",462329.94,223589.14,115.47000156533,75.3161521,462529.670872727,223389.409127273
"S1_A_RNEUV_N","Rue Neuve",1,"A",511095.16,99291.81,69.7816710992908,79.864678,511294.890872727,99092.0791272727
"S1_A_VAL_N","Valentin",1,"A",93568.21,121368.72,85.8349952039974,42.813134,93767.9408727273,121168.989127273
"S1_A_DRCOL_N","Druey-Collège",1,"A",42125.086,402685.06,64.5148421969579,41.601151,42324.8168727273,402485.329127273
"S1_A_OIS_N","Oiseaux",1,"A",50781.453,275775.9,78.2546638897505,37.4729401,50981.1838727273,275576.169127273
"S1_A_CAS_W","Casernes",1,"A",68663.95,175742.62,52.2414404432133,37.0078433,68863.6808727273,175542.889127273
"S1_A_SO_N","Stade Olympique",1,"A",14205.844,128369.91,48.7702942219071,28.555169,14405.5748727273,128170.179127273
"S1_A_VELOD_N","Parc Vélodrome",1,"A",3997.4219,142700.69,58.3522022332506,28.07134,4197.15277272727,142500.959127273
"S1_A_BGENT_N","Bois-Gentil",1,"A",4931.1157,248882.31,102.737432645187,33.507843,5130.84657272727,248682.579127273
"S1_A_BLECH_E","Blécherette",1,"A",0,279523.4,NA,16.313502,0,279323.669127273
"S1_R_BLECH_E","Blécherette",1,"R",312235.28,0,122.11643157919,318.2832846,312415.190809524,0
"S1_R_BGENT_S","Bois-Gentil",1,"R",220668.67,10466.658,51.6538824341424,37.7676661,220848.580809524,10286.7471904762
"S1_R_VELOD_S","Parc Vélodrome",1,"R",130089.84,12243.911,60.462326245052,32.1864719,130269.750809524,12064.0001904762
"S1_R_SO_S","Stade Olympique",1,"R",74949.086,27834.682,79.6196319018405,23.6013992,75128.9968095238,27654.7711904762
"S1_R_CAS_S","Casernes",1,"R",148703.75,60124.67,56.5089656126118,38.2640326,148883.660809524,59944.7591904762
"S1_R_DRUEY_S","Druey",1,"R",100823.836,12012.645,53.3866900255872,29.1187886,101003.746809524,11832.7341904762
"S1_R_DRCOL_S","Druey-Collège",1,"R",210037.56,28818.477,96.2727918921398,35.883774,210217.470809524,28638.5661904762
"S1_R_VAL_S","Valentin",1,"R",45303.96,60278.57,67.9138630890953,31.7710951,45483.8708095238,60098.6591904762
"S1_R_RNEUV_S","Rue Neuve",1,"R",27915.438,381328.84,112.758187961111,65.759867,28095.3488095238,381148.929190476
"S1_R_B-AIR_D","Bel-Air",1,"R",121628.766,283867.7,183.144149793944,72.7082716,121808.676809524,283687.789190476
"S1_R_SF_S","St-François",1,"R",198148.1,180230.7,126.400735701465,64.5733322,198328.010809524,180050.789190476
"S1_R_GTE_D","Georgette",1,"R",245477.48,66478.25,102.344783263895,70.6902076,245657.390809524,66298.3391904762
"S1_R_RASUD_O","Rasude",1,"R",20651.32,37438.43,108.067553509374,22.1875499,20831.2308095238,37258.5191904762
"S1_R_GARE_S","Lausanne-Gare",1,"R",480688.94,345354.56,70.9094162628373,63.9487151,480868.850809524,345174.649190476
"S1_R_EPTES_S","Epinettes",1,"R",42450.266,65209.848,44.945041736227,29.0686658,42630.1768095238,65029.9371904762
"S1_R_DPLES_S","Dapples",1,"R",31783.188,59169.383,84.822702438591,27.3412799,31963.0988095238,58989.4721904762
"S1_R_BGARD_S","Beauregard",1,"R",37258.9,157524.7,72.2328591340516,30.4675965,37438.8108095238,157344.789190476
"S1_R_CEDRE_O","Cèdres",1,"R",15224.156,148674.39,54.0448510864274,29.6351468,15404.0668095238,148494.479190476
"S1_R_RTCOU_O","Riant-Cour",1,"R",23633.885,132201.36,59.8073110285006,30.6923928,23813.7958095238,132021.449190476
"S1_R_BATEL_O","Batelière",1,"R",13706.721,168884.53,81.0576710205889,30.7020712,13886.6318095238,168704.619190476
"S1_R_MTOIE_O","Montoie",1,"R",4259.363,128254.875,74.2065790351638,33.4839274,4439.27380952381,128074.964190476
"S1_R_MALAD_N","Maladière",1,"R",0,146797.58,NA,12.6887747,0,146617.669190476
"S2_A_MALL_E","Maladière-Lac",2,"A",111774.47,0,105.001632342139,418.8543288,110781.218968,0
"S2_A_TVIDY_E","Théâtre de Vidy",2,"A",136311.16,8191.4214,83.5544786366206,29.6982101,135317.908968,9184.672432
"S2_A_BVE_E","Bellerive",2,"A",93917.45,12881.017,56.4589457815108,27.3026681,92924.198968,13874.268032
"S2_A_PECH_E","Pêcheurs",2,"A",74734.26,11253.272,90.5638981743379,58.1848651,73741.008968,12246.523032
"S2_A_OUCHY_E","Ouchy-Olympique",2,"A",61026.562,42647.297,71.7344523763586,45.7845847,60033.310968,43640.548032
"S2_A_B-RIV_N","Beau-Rivage",2,"A",30680.848,7290.177,45.8032934516918,31.9133706,29687.596968,8283.428032
"S2_A_JDILS_N","Jordils",2,"A",13322.135,6564.949,116.052729101594,19.0352502,12328.883968,7558.200032
"S2_A_CX-OY_N","Croix d'Ouchy",2,"A",108658.95,23061.953,53.3764544648376,35.1143233,107665.698968,24055.204032
"S2_A_MTFLI_N","Mont-Fleuri",2,"A",36845.145,19953.344,55.0455046364736,29.2736947,35851.893968,20946.595032
"S2_A_CLOSL_N","Closelet",2,"A",121837.33,58235.258,74.6393729159944,36.4405591,120844.078968,59228.509032
"S2_A_MIRAB_N","Mirabeau",2,"A",31646.14,32387.04,96.3869859365012,28.1248367,30652.888968,33380.291032
"S2_A_GTE_N","Georgette",2,"A",74336.62,151193.44,164.602815324322,63.2015235,73343.368968,152186.691032
"S2_A_SF_O","St-François",2,"A",192400.47,170814.72,138.504972344824,75.1757445,191407.218968,171807.971032
"S2_A_B-AIR_N","Bel-Air",2,"A",234351.44,132294.34,114.891263654905,74.3004358,233358.188968,133287.591032
"S2_A_RNEUV_N","Rue Neuve",2,"A",306419.78,61853.07,66.0014622603887,77.7165235,305426.528968,62846.321032
"S2_A_VAL_N","Valentin",2,"A",42720.914,65873.89,71.3239683933275,37.2319953,41727.662968,66867.141032
"S2_A_VINET_O","Vinet",2,"A",29010.11,120734.94,71.8769861336598,36.4996408,28016.858968,121728.191032
"S2_A_BLIJO_O","Beaulieu-Jomini",2,"A",53941.887,45158.938,44.2232945179986,29.4423389,52948.635968,46152.189032
"S2_A_BLIEU_O","Beaulieu",2,"A",25900.426,100872.625,48.5668331296818,29.3961291,24907.174968,101865.876032
"S2_A_PRBYT_O","Presbytère",2,"A",10952.256,127633,82.0397918823498,28.1536949,9959.004968,128626.251032
"S2_A_BERG_O","Bergières",2,"A",129547.88,194187,98.1071988520103,41.4542221,128554.628968,195180.251032
"S2_A_GREY_O","Grey",2,"A",18323.748,69685.9,45.858148679526,25.9169036,17330.496968,70679.151032
"S2_A_PIERF_O","Pierrefleur",2,"A",13237.568,113232.83,40.3775144155396,27.0662363,12244.316968,114226.081032
"S2_A_P-RIV_O","Parc Rivier",2,"A",8565.81,158021.52,73.1158630588485,29.0797173,7572.558968,159014.771032
"S2_A_DST_O","Désert",2,"A",6718.454,101637.875,40.0327046709526,33.0069374,5725.202968,102631.126032
"S2_A_DST_E","Désert",2,"A",0,81859.445,NA,10.5416811,0,82852.696032
"S2_R_DST_E","Désert",2,"R",176241.5,0,77.9380411111701,359.2840942,176247.35935,0
"S2_R_P-RIV_E","Parc Rivier",2,"R",129947.13,6347.693,41.8076003188945,33.3445052,129952.98935,6341.83365
"S2_R_PIERF_E","Pierrefleur",2,"R",71073.06,12045.046,33.6112381661525,26.4425724,71078.91935,12039.18665
"S2_R_GREY_E","Grey",2,"R",25189.607,22462.162,62.2017907433976,21.4288374,25195.46635,22456.30265
"S2_R_BOISY_E","Boisy",2,"R",89064.05,15772.279,92.9921543681086,33.9189117,89069.90935,15766.41965
"S2_R_BERG_E","Bergières",2,"R",145322.86,41808.336,48.879691475827,34.0472328,145328.71935,41802.47665
"S2_R_PRBYT_E","Presbytère",2,"R",92521.19,12588.893,45.2201182804254,26.6104485,92527.04935,12583.03365
"S2_R_BLIEU_E","Beaulieu",2,"R",70528.31,25687.139,62.7354884943069,26.0645503,70534.16935,25681.27965
"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",42953.3,49684.99,63.8573632277454,51.8253576,42959.15935,49679.13065
"S2_R_VINET_E","Vinet",2,"R",52914.89,26141.943,55.7699590447317,26.8372563,52920.74935,26136.08365
"S2_R_VAL_S","Valentin",2,"R",27385.555,42550.156,65.7596054135978,29.2070103,27391.41435,42544.29665
"S2_R_RNEUV_S","Rue Neuve",2,"R",18549.762,271064,110.464672319096,59.1505225,18555.62135,271058.14065
"S2_R_B-AIR_D","Bel-Air",2,"R",83525.5,144532.06,54.2971342383107,69.0361052,83531.35935,144526.20065
"S2_R_SF_S","St-François",2,"R",166546.4,138648.92,123.660249725943,65.3042908,166552.25935,138643.06065
"S2_R_GTE_D","Georgette",2,"R",118564.266,51500.555,137.233054956897,69.2007968,118570.12535,51494.69565
"S2_R_CLOSL_D","Closelet",2,"R",25582.252,67485.09,45.8409268489829,26.3157597,25588.11135,67479.23065
"S2_R_MTFLI_S","Mont-Fleuri",2,"R",38861.332,37116.14,52.136557112069,25.8563654,38867.19135,37110.28065
"S2_R_CX-OY_S","Croix d'Ouchy",2,"R",12329.658,79903.91,58.9900092557304,30.5271821,12335.51735,79898.05065
"S2_R_JDILS_S","Jordils",2,"R",2410.4092,18010.947,52.231169893646,21.0356346,2416.26855,18005.08765
"S2_R_B-RIV_S","Beau-Rivage",2,"R",10269.206,78422.81,80.071510391098,29.0077993,10275.06535,78416.95065
"S2_R_OUCHY_O","Ouchy-Olympique",2,"R",135002.4,79233.625,100.29613559322,43.6139748,135008.25935,79227.76565
"S2_R_PECH_O","Pêcheurs",2,"R",11939.958,50125.656,59.4319573107969,20.6610712,11945.81735,50119.79665
"S2_R_BVE_O","Bellerive",2,"R",11682.031,62138.883,60.25350308053,24.7968742,11687.89035,62133.02365
"S2_R_TVIDY_O","Théâtre de Vidy",2,"R",4102.247,117710.83,94.6166666666667,32.0495338,4108.10635,117704.97065
"S2_R_MALL_O","Maladière-Lac",2,"R",4991.6763,90443.11,89.4805162571358,108.1375225,4997.53565,90437.25065
"S2_R_MALL_E","Maladière-Lac",2,"R",0,26366.344,NA,9.0715921,0,26360.48465
"S3_A_GARE_B","Lausanne-Gare",3,"A",1033232,0,142.689821773674,289.5596456,1034097.63722727,0
"S3_A_VLARD_O","Villard",3,"A",36920.93,38711.336,82.4535014518534,29.4425968,37786.5672272727,37845.6987727273
"S3_A_CECIL_N","Cécil",3,"A",110232.266,139651.73,131.867819996864,69.9161064,111097.903227273,138786.092772727
"S3_A_CH_N","Chauderon",3,"A",343558.16,370470.25,58.9013123496811,53.0913605,344423.797227273,369604.612772727
"S3_A_SROCH_N","St-Roch",3,"A",57578.906,102157,103.241347762442,34.2333996,58444.5432272727,101291.362772727
"S3_A_BLIJO_M","Beaulieu-Jomini",3,"A",103905.375,170223,77.7884992547266,39.7965548,104771.012227273,169357.362772727
"S3_A_MTBLC_N","Mont-Blanc",3,"A",12693.612,156618.36,73.3322617740839,31.549358,13559.2492272727,155752.722772727
"S3_A_CAS_N","Casernes",3,"A",47983.64,163663.9,94.767696855684,33.9328838,48849.2772272727,162798.262772727
"S3_A_ROUVR_N","Rouvraie",3,"A",24907.684,125987.52,54.1704000628783,35.2282457,25773.3212272727,125121.882772727
"S3_A_MOTTE_N","Motte",3,"A",10021.749,95708.055,58.6252647543341,26.3853127,10887.3862272727,94842.4177727273
"S3_A_FORET_N","Forêt",3,"A",9975.41,212435,83.0408002933012,38.7788615,10841.0472272727,211569.362772727
"S3_A_BELVO_B","Bellevaux",3,"A",0,234427.6,NA,11.6267742,0,233561.962772727
"S3_R_BELVO_B","Bellevaux",3,"R",252734.69,0,110.359044635865,411.1804156,251955.221104545,0
"S3_R_FORET_S","Forêt",3,"R",212402.88,10183.737,55.8572062315702,37.0819107,211623.411104545,10963.2058954545
