"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"1","MALAD_N","Maladière",6,"A",1,175278.17,0
"2","MTOIE_E","Montoie",6,"A",2,107241.63,9345.035
"3","FIGUI_E","Figuiers",6,"A",3,122778,7629.7812
"4","MT-OR_E","Mont d'Or",6,"A",4,80856.84,6038.849
"5","FNAY_N ","Fontenay",6,"A",5,114860.56,9123.107
"6","LGDOC_N","Languedoc",6,"A",6,53335.96,4194.216
"7","M-DUF_N","Pont Marc Dufour",6,"A",7,72311.766,49464.965
"8","CECIL_N","Cécil",6,"A",8,71975.984,127632.75
"9","CH_E   ","Chauderon",6,"A",9,238888.28,209851.88
"10","B-AIR_C","Bel-Air",6,"A",10,289944.6,173640.25
"11","SF_P   ","St-François",6,"A",11,330791.34,151242.38
"12","BESS_N ","Bessières",6,"A",12,182646.83,164137.69
"13","OURS_E ","Ours",6,"A",13,226915.55,140537.53
"14","BETHU_N","Béthusy",6,"A",14,32038.895,162887.98
"15","ALLIE_N","Allières",6,"A",15,19149.318,94693.73
"16","VROSS_N","Virgile-Rossel",6,"A",16,25892.52,126969.99
"17","VALNT_N","Vallonnette",6,"A",17,47079.65,169721.11
"18","VRUFF_N","Victor-Ruffy",6,"A",18,3869.179,43263.312
"19","SALA_A ","Sallaz",6,"A",19,464810.56,189801.03
"20","ST-ET_E","St-Etienne",6,"A",20,18554.38,40939.617
"21","VALMT_E","Valmont",6,"A",21,42443.79,190130.02
"22","FOYER_E","Foyer",6,"A",22,9224.061,127628.11
"23","BOVRE_N","Boveresses",6,"A",23,9971.8955,238812.84
"24","PSECH_B","Praz-Séchaud",6,"A",24,0,311092.3
"25","PSECH_B","Praz-Séchaud",6,"R",1,285332.88,0
"26","BOVRE_S","Boveresses",6,"R",2,219289.28,13973.692
"27","FOYER_O","Foyer",6,"R",3,101447.64,7277.789
"28","VALMT_O","Valmont",6,"R",4,214021.4,23600.916
"29","ST-ET_O","St-Etienne",6,"R",5,31431.928,29715.21
"30","SALA_B ","Sallaz",6,"R",6,166759.42,439965.94
"31","VRUFF_S","Victor-Ruffy",6,"R",7,32928.703,7835.7266
"32","VALNT_S","Vallonnette",6,"R",8,141871.8,39629.242
"33","VROSS_S","Virgile-Rossel",6,"R",9,99557.76,24664.746
"34","ALLIE_S","Allières",6,"R",10,55944.72,19608.023
"35","BETHU_O","Béthusy",6,"R",11,81158.6,47030.02
"36","OURS_O ","Ours",6,"R",12,60284.914,101796.32
"37","BESS_S ","Bessières",6,"R",13,103182.15,143309.67
"38","SF_O   ","St-François",6,"R",14,138454.31,276938.12
"39","B-AIR_O","Bel-Air",6,"R",15,181135.25,159284.69
"40","CH_O   ","Chauderon",6,"R",16,118765.39,177081.42
"41","PT-CH_S","Pont Chauderon",6,"R",17,113816.266,27919.094
"42","CECIL_S","Cécil",6,"R",18,72426.14,101245.35
"43","M-DUF_S","Pont Marc Dufour",6,"R",19,37176.08,75241.305
"44","LGDOC_S","Languedoc",6,"R",20,3833.173,55229.5
"45","FNAY_O ","Fontenay",6,"R",21,5272.6895,93613.92
"46","MT-OR_O","Mont d'Or",6,"R",22,5495.8765,69416.47
"47","FIGUI_O","Figuiers",6,"R",23,2845.0405,105947.67
"48","MTOIE_O","Montoie",6,"R",24,3169.6475,86897.72
"49","MALAD_N","Maladière",6,"R",25,0,146957.27
"50","SF_O   ","St-François",7,"A",1,240627.8,851.3697
