"","MALAD_N","MTOIE_E","FIGUI_E","MT-OR_E","FNAY_N ","LGDOC_N","M-DUF_N","CECIL_N","CH_E   ","B-AIR_C","SF_P   ","BESS_N ","OURS_E ","BETHU_N","ALLIE_N","VROSS_N","VALNT_N","VRUFF_N","SALA_A ","ST-ET_E","VALMT_E","FOYER_E","BOVRE_N","PSECH_B","PSECH_B","BOVRE_S","FOYER_O","VALMT_O","ST-ET_O","SALA_B ","VRUFF_S","VALNT_S","VROSS_S","ALLIE_S","BETHU_O","OURS_O ","BESS_S ","SF_O   ","B-AIR_O","CH_O   ","PT-CH_S","CECIL_S","M-DUF_S","LGDOC_S","FNAY_O ","MT-OR_O","FIGUI_O","MTOIE_O","MALAD_N","SF_O   ","B-AIR_N","RIP_N  ","TNEL_E ","NORD_E ","OURS_E ","BETHU_E","FAUCO_E","PCHLY_E","CHLYV_E","CDRTT_E","ROS_E  ","VVERT_T","VVERT_T","ROS_O  ","CDRTT_O","CHLYV_O","PCHLY_O","FAUCO_O","BETHU_O","OURS_O ","BESS_S ","SF_O   ","VERRI_O","VIGNE_O","PPORT_O","SOMAI_O","CNIER_O","VRNEY_O","BNIER_O","THALD_O","DENAN_O","MUSEO_O","MTSI_N ","JURIG_N","ALPES_N","GTE_N  ","SF_O   ","B-AIR_N","RIP_N  ","TNEL_N ","MEMIS_N","GBORD_N","VMOUL_M","ROUVR_N","MOTTE_N","FORET_N","BELVO_N","GGETT_N","RIONZ_N","MARTI_N","COTES_N","PMONT_N","COPOP_N","COPOZ_N","GMONT_T","GMONT_T","GMONT_S","COPOZ_S","COPOP_S","PMONT_S","COTES_S","MARTI_S","RIONZ_S","GGETT_S","BELVO_S","FORET_S","MOTTE_S","VMOUL_S","GBORD_S","MEMIS_S","TNEL_S ","RIP_S  ","B-AIR_D","SF_S   ","GTE_S  ","ALPES_S","JURIG_S","MTSI_S ","MUSEO_E","DENAN_E","THALD_E","BNIER_E","VRNEY_E","CNIER_E","SOMAI_E","PPORT_E","VIGNE_E","VERRI_E","VERRI_O","LUTRY_B","VOISD_O","GPONT_O","MARRO_O","PAUDX_O","MLINS_O","REYM_O ","CLERG_O","MTILL_O","PDETT_O","ESPER_O","LEMAN_O","EGLAN_O","GTE_O  ","SF_O   ","B-AIR_O","CH_O   ","BOST_N ","SPAUL_O","MTETN_O","VALCY_O","HUTIN_O","PRY-C_O","PEREA_O","PRY_B  ","PRY_B  ","PEREA_E","PRY-C_E","HUTIN_E","VALCY_E","MTETN_E","SPAUL_E","BOST_S ","CH_E   ","B-AIR_C","SF_P   ","GTE_E  ","EGLAN_E","LEMAN_E","ESPER_E","PDETT_E","MTILL_D","CLERG_E","REYM_E ","MLINS_E","PAUDX_E","MARRO_E","GPONT_E","VOISD_E","RIVE_E ","LUTRY_B"
"MALAD_N",0,306,515,704,980,882,1008,1317,1589,1855,1939,2228,2488,2923,3082,3263,3469,3768,3637,3933,4258,4320,4558,4808,4808,4457,4339,4250,3869,3637,3727,3477,3268,3055,2810,2512,2236,1942,1752,1591,1479,1328,1019,897,893,696,500,264,0,1942,1894,2126,2345,2490,2488,2877,3241,3464,3633,3840,4050,4466,4466,4055,3760,3646,3445,3162,2810,2512,2236,1942,4290,3969,3676,3488,3217,3010,2861,2546,2355,2101,2271,2207,2177,2209,1942,1894,2126,2418,2371,2463,2458,2629,2813,3002,3305,3513,3683,3978,4259,4693,4943,5052,5156,5156,5235,4971,4934,4684,4255,3920,3668,3470,3336,2942,2756,2435,2440,2434,2336,2068,1827,2003,2208,2145,2251,2221,2110,2308,2646,2869,3005,3310,3497,3745,3974,4331,4290,5919,5324,4964,4719,4583,4254,4057,3841,3527,3271,2987,2694,2391,2207,1942,1752,1591,1604,1655,1786,1710,1697,1852,2074,2372,2372,2126,1843,1710,1699,1750,1718,1631,1589,1855,1939,2276,2505,2670,3085,3298,3634,3850,4085,4367,4550,4727,4981,5326,5653,5919
"MTOIE_E",306,0,253,442,718,620,785,1125,1397,1663,1751,2036,2281,2716,2875,3056,3262,3576,3445,3741,4066,4113,4351,4601,4601,4250,4132,4058,3677,3445,3512,3270,3061,2848,2603,2305,2044,1750,1560,1399,1287,1137,796,635,631,434,238,43,306,1750,1702,1934,2153,2298,2281,2670,3034,3257,3426,3633,3843,4259,4259,3848,3553,3439,3238,2955,2603,2305,2044,1750,4039,3718,3425,3237,2966,2759,2610,2295,2104,1850,2009,1945,1915,1947,1750,1702,1934,2226,2179,2271,2266,2437,2621,2810,3113,3321,3491,3786,4067,4501,4751,5006,5110,5110,5189,4925,4742,4492,4063,3728,3476,3278,3144,2750,2564,2243,2248,2242,2144,1876,1635,1815,1946,1883,1989,1970,1859,2057,2395,2618,2754,3059,3246,3494,3723,4080,4039,5668,5073,4713,4457,4321,3992,3795,3579,3265,3009,2725,2432,2129,1960,1750,1560,1399,1412,1463,1652,1664,1651,1806,2028,2326,2326,2080,1797,1664,1653,1558,1526,1439,1397,1663,1751,2014,2243,2408,2823,3036,3372,3588,3823,4105,4288,4465,4730,5075,5402,5668
"FIGUI_E",515,253,0,190,466,368,563,935,1257,1522,1499,1824,2029,2464,2623,2804,3010,3309,3304,3600,3925,3861,4099,4349,4349,3998,3880,3917,3536,3304,3260,3018,2809,2596,2351,2053,1832,1524,1420,1259,1147,900,559,383,379,182,16,296,515,1524,1561,1793,2012,2128,2029,2418,2782,3005,3174,3381,3591,4007,4007,3596,3301,3187,2986,2703,2351,2053,1832,1524,3854,3533,3240,3052,2781,2574,2425,2110,1919,1665,1757,1693,1663,1695,1524,1561,1793,2085,2039,2131,2126,2297,2481,2670,2973,3181,3351,3646,3927,4361,4611,4903,5281,5281,5137,4834,4602,4352,3923,3588,3336,3138,3004,2610,2424,2103,2108,2102,2003,1735,1495,1563,1694,1631,1737,1736,1674,1872,2210,2433,2569,2874,3061,3309,3538,3895,3854,5483,4888,4502,4205,4069,3740,3543,3327,3013,2757,2473,2180,1877,1708,1524,1420,1259,1272,1467,1656,1820,1904,2059,2281,2579,2579,2333,2050,1917,1809,1562,1410,1299,1257,1522,1499,1762,1991,2156,2571,2784,3120,3336,3571,3853,4036,4213,4545,4890,5217,5483
"MT-OR_E",705,443,191,0,275,177,372,744,1066,1331,1308,1633,1838,2273,2432,2613,2819,3118,3113,3409,3734,3670,3908,4158,4158,3807,3689,3726,3345,3113,3069,2827,2618,2405,2160,1862,1641,1333,1229,1068,956,709,368,192,188,9,206,486,705,1333,1370,1602,1821,1937,1838,2227,2591,2814,2983,3190,3400,3816,3816,3405,3110,2996,2795,2512,2160,1862,1641,1333,3743,3422,3129,2941,2673,2466,2317,2002,1811,1548,1566,1502,1472,1504,1333,1370,1602,1894,1848,1940,1935,2106,2290,2479,2782,2990,3160,3455,3736,4170,4420,4712,5090,5090,4946,4643,4411,4161,3732,3397,3145,2947,2813,2419,2233,1912,1917,1911,1812,1544,1304,1372,1503,1440,1546,1545,1566,1764,2102,2325,2461,2766,2950,3198,3427,3784,3743,5346,4751,4311,4014,3878,3549,3352,3136,2822,2566,2282,1989,1686,1517,1333,1229,1068,1081,1395,1584,1748,1967,2194,2429,2727,2727,2481,2198,1980,1737,1490,1219,1108,1066,1331,1308,1571,1800,1965,2380,2593,2929,3145,3380,3662,3845,4022,4423,4753,5080,5346
"FNAY_N ",980,718,466,274,0,142,285,635,957,1222,1106,1431,1636,2071,2230,2411,2617,2916,2908,3204,3529,3468,3706,3956,3956,3605,3487,3521,3140,2908,2867,2625,2416,2203,1958,1660,1439,1131,1120,959,847,600,273,95,87,283,481,761,980,1131,1261,1493,1712,1735,1636,2025,2389,2612,2781,2988,3198,3614,3614,3203,2908,2794,2593,2310,1958,1660,1439,1131,3563,3242,2949,2761,2559,2352,2203,1888,1697,1368,1386,1300,1270,1302,1131,1261,1493,1785,1739,1831,1826,1997,2181,2370,2673,2881,3051,3346,3627,4061,4311,4603,4981,4981,4837,4534,4302,4052,3623,3288,3036,2838,2704,2310,2124,1803,1808,1802,1703,1435,1195,1170,1301,1238,1346,1365,1452,1650,1988,2211,2347,2652,2770,3018,3247,3604,3563,5166,4571,4131,3834,3698,3369,3172,2934,2620,2364,2080,1787,1484,1315,1131,1120,959,972,1338,1527,1691,1910,2137,2372,2670,2670,2424,2141,1923,1680,1433,1110,999,957,1222,1106,1369,1598,1763,2178,2391,2727,2943,3200,3482,3665,3842,4243,4573,4900,5166
"LGDOC_N",882,620,368,176,142,0,205,577,899,1164,1243,1543,1778,2213,2372,2553,2759,3077,2946,3242,3567,3610,3848,4098,4098,3747,3629,3559,3178,2946,3009,2767,2558,2345,2100,1802,1551,1246,1062,901,789,542,201,47,229,185,383,663,882,1246,1203,1435,1654,1805,1778,2167,2531,2754,2923,3130,3340,3756,3756,3345,3050,2936,2735,2452,2100,1802,1551,1246,3705,3384,3091,2903,2701,2494,2345,2030,1839,1510,1528,1442,1412,1444,1246,1203,1435,1727,1681,1773,1768,1939,2123,2312,2615,2823,2993,3288,3569,4003,4253,4545,4923,4923,4779,4476,4244,3994,3565,3230,2978,2780,2646,2252,2066,1745,1750,1744,1645,1377,1137,1307,1443,1380,1488,1507,1594,1792,2130,2353,2489,2794,2912,3160,3389,3746,3705,5308,4713,4273,3976,3840,3511,3314,3076,2762,2506,2222,1929,1626,1457,1246,1062,901,914,1277,1466,1630,1849,2076,2311,2609,2609,2363,2080,1862,1619,1372,1052,941,899,1164,1243,1511,1740,1905,2320,2533,2869,3085,3342,3624,3807,3984,4385,4715,5042,5308
"M-DUF_N",1008,785,563,371,285,205,0,388,710,975,1054,1354,1603,2038,2197,2378,2584,2888,2757,3053,3378,3435,3673,3923,3923,3572,3454,3370,2989,2757,2834,2592,2383,2170,1925,1627,1362,1057,873,712,600,353,12,251,330,380,578,774,1008,1057,1014,1246,1465,1616,1603,1992,2356,2579,2748,2955,3165,3581,3581,3170,2875,2761,2560,2277,1925,1627,1362,1057,3682,3361,3068,2880,2688,2481,2332,2017,1826,1514,1505,1424,1376,1293,1057,1014,1246,1538,1492,1584,1579,1750,1934,2123,2426,2634,2804,3099,3380,3814,4064,4356,4734,4734,4590,4287,4055,3805,3376,3041,2789,2591,2457,2063,1877,1556,1561,1555,1456,1188,948,1118,1292,1362,1470,1484,1598,1779,2117,2340,2476,2781,2889,3137,3366,3723,3682,5285,4690,4250,3953,3817,3488,3226,2970,2656,2400,2116,1823,1520,1302,1057,873,712,725,1054,1243,1407,1626,1853,2088,2386,2386,2140,1857,1639,1396,1149,863,752,710,975,1054,1360,1634,1799,2214,2427,2763,2979,3319,3601,3784,3961,4362,4692,5019,5285
"CECIL_N",1317,1125,935,743,635,577,388,0,352,601,688,980,1237,1672,1831,2012,2218,2514,2383,2679,3004,3069,3307,3557,3557,3206,3088,2996,2615,2383,2479,2226,2017,1804,1559,1261,988,691,515,354,242,64,376,607,680,752,950,1083,1317,691,640,872,1091,1242,1237,1626,1990,2213,2382,2589,2799,3215,3215,2804,2509,2395,2194,1911,1559,1261,988,691,3449,3177,2884,2696,2635,2450,2301,1986,1795,1483,1474,1343,1171,1032,691,640,872,1164,1134,1226,1221,1392,1576,1765,2068,2276,2446,2741,3022,3456,3706,3998,4376,4376,4232,3929,3697,3447,3018,2683,2431,2233,2099,1705,1519,1198,1203,1197,1082,814,590,752,1033,1179,1389,1453,1567,1748,2086,2309,2445,2649,2705,2953,3182,3490,3449,4975,4380,3940,3643,3507,3178,2903,2647,2333,2077,1793,1500,1197,956,691,515,354,367,836,1172,1336,1555,1782,2059,2357,2357,2111,1832,1568,1325,1080,505,394,352,601,688,1025,1311,1476,1891,2104,2440,2656,3026,3291,3474,3651,4052,4382,4709,4975
"CH_E   ",1589,1397,1257,1065,957,899,710,352,0,261,599,854,1106,1541,1700,1881,2045,2174,2043,2339,2664,2938,3176,3426,3426,3075,2957,2656,2275,2043,2222,2053,1886,1673,1428,1130,837,590,164,125,128,357,698,929,1002,1074,1272,1355,1589,590,300,532,751,1137,1106,1495,1859,2082,2251,2458,2668,3084,3084,2673,2378,2264,2063,1780,1428,1130,837,590,3360,3088,2795,2607,2546,2480,2390,2103,1912,1600,1521,1378,1145,943,590,300,532,824,905,997,1021,1192,1376,1565,1868,2076,2246,2541,2822,3256,3506,3798,4176,4176,4032,3729,3497,3247,2818,2483,2231,2033,1899,1505,1319,998,974,873,742,474,239,663,944,1209,1424,1570,1684,1865,2203,2398,2475,2560,2616,2864,3093,3401,3360,4886,4291,3851,3554,3418,3089,2814,2558,2244,1988,1704,1411,1108,867,590,164,125,189,658,994,1158,1377,1604,1881,2179,2179,1933,1654,1390,1147,902,327,216,0,261,599,936,1222,1387,1802,2015,2351,2567,2937,3202,3385,3562,3963,4293,4620,4886
"B-AIR_C",1855,1663,1523,1331,1223,1165,976,602,262,0,338,611,863,1298,1457,1638,1802,1931,1800,2096,2421,2695,2933,3183,3183,2832,2714,2413,2032,1800,1979,1810,1643,1430,1185,887,594,329,99,311,389,623,964,1195,1268,1340,1538,1621,1855,329,57,289,508,893,863,1252,1616,1839,2008,2215,2425,2841,2841,2430,2135,2021,1820,1537,1185,887,594,329,3099,2827,2534,2346,2285,2219,2129,1842,1651,1339,1260,1117,884,682,329,57,289,581,692,891,1097,1227,1422,1606,1909,2117,2287,2582,2863,3332,3574,3812,4190,4190,4046,3739,3565,3323,2859,2524,2272,2074,1940,1548,1353,1074,867,630,499,231,91,402,683,948,1163,1309,1423,1604,1942,2137,2214,2299,2355,2603,2832,3140,3099,4625,4030,3590,3293,3157,2828,2553,2297,1983,1727,1443,1150,847,606,329,99,311,450,919,1255,1419,1638,1865,2142,2440,2440,2194,1915,1651,1408,1163,588,477,262,0,338,675,961,1126,1541,1754,2090,2306,2676,2941,3124,3301,3702,4032,4359,4625
