"passengers","mean_error","sd_error","line"
100,0.39705872922926,0.0628656742726984,2
500,0.18641879951683,0.0215367598329816,2
1000,0.138445651248278,0.0106814835700834,2
1500,0.136080837070603,0.0189358112413261,2
2000,0.0967804052108838,0.0111978932146229,2
2500,0.0886084733321508,0.0114262583733444,2
3000,0.0814698397481994,0.00862786941585193,2
3500,0.0719477265386791,0.00835504894106743,2
4000,0.0795795875989752,0.00716521094724387,2
5000,0.0693117803956673,0.00798460987277512,2
10000,0.0409515286073398,0.00460235310314367,2
20000,0.0307252574895634,0.00351326310598056,2
50000,0.0219603488515725,0.00264486741543918,2
100,0.782645035757667,0.0407535451091295,3
500,0.378828225756944,0.0160477388454239,3
1000,0.281161509321299,0.0121847383995714,3
1500,0.232827353057514,0.0109328267293922,3
2000,0.20217409100199,0.00941855932213337,3
2500,0.171736114688388,0.00652401253104103,3
3000,0.162410635762732,0.00893096970418453,3
3500,0.150245911434276,0.00661168514998817,3
4000,0.138120284027028,0.00632467827017327,3
5000,0.12013771750037,0.0043155631370157,3
10000,0.0917121529568772,0.00617126794746488,3
20000,0.0622750602470416,0.00318515064472601,3
50000,0.0423653922624756,0.00211852786853455,3
100,1.19919877143274,0.0456922741426451,4
500,0.568556689937667,0.020453693594847,4
1000,0.411463452224026,0.016197763060038,4
1500,0.344463568736912,0.0131422046605132,4
2000,0.301647105581958,0.0116959834231814,4
2500,0.270600032188034,0.0100489737348389,4
3000,0.249790096851417,0.00956348076034884,4
3500,0.232435994073031,0.00890844446500603,4
4000,0.218928410812461,0.00881967444355081,4
5000,0.197183511922258,0.00758243024223027,4
10000,0.143300817370077,0.00384463370486146,4
20000,0.101452928417711,0.00191604559996939,4
50000,0.0641491214390525,0.00142992106286824,4
100,1.55148481436541,0.0217807660195056,5
500,0.887605117540524,0.0119120052675326,5
1000,0.63485523935376,0.00935540705095238,5
1500,0.521092449350301,0.00891378798729442,5
2000,0.450059902780715,0.00940813004535274,5
2500,0.408345976648952,0.00890077727414455,5
3000,0.373536002021052,0.00836487259050563,5
3500,0.346071602315962,0.00806845863272481,5
4000,0.32663478165174,0.00815107692379383,5
5000,0.292974639145467,0.00742052114459418,5
10000,0.211380842978722,0.00512033441582462,5
20000,0.152536855646917,0.00266877089028862,5
50000,0.0950349190155159,0.00191218998629932,5
100,1.74044036647914,0.0207164507660185,6
500,1.17639783526637,0.011263380388342,6
1000,0.858399546875619,0.0087893368456841,6
1500,0.707268063373227,0.0100721559029562,6
2000,0.619555210336044,0.00849818027572873,6
2500,0.557214347440527,0.00796706912447713,6
3000,0.511834683350358,0.00675726245951701,6
3500,0.470849464541524,0.00651301391521425,6
4000,0.44387638816423,0.00647998179780175,6
5000,0.397889591815608,0.00623799853717847,6
10000,0.285129482231339,0.00423881559922862,6
20000,0.203921318297671,0.00295423017823282,6
50000,0.126870789402903,0.00107010088715135,6
100,1.86991678950714,0.0331593358130632,7
500,1.4225490456615,0.00985287314954001,7
1000,1.12591333392131,0.0107512178268227,7
1500,0.921818087171762,0.00661214403074396,7
2000,0.79410816991746,0.00504159998516116,7
2500,0.718127818135725,0.00539579546245772,7
3000,0.654547686539851,0.00613859364685869,7
3500,0.60938367026426,0.00548827742573224,7
4000,0.571024823857573,0.00396965502282918,7
5000,0.511498496757129,0.00424394479615545,7
10000,0.364454706892229,0.00253236867294308,7
20000,0.259189657330864,0.00163302943266699,7
50000,0.165564151302366,0.00105112666901572,7
100,1.9858167661564,0.0239658379728779,8
500,1.62791685875378,0.0137862221649107,8
1000,1.37826904160501,0.00756576448035616,8
1500,1.17840199153263,0.00780208758391682,8
2000,1.03277941059967,0.0081522365629391,8
2500,0.919603888838999,0.0068408058997647,8
3000,0.836183402346043,0.00633294990854335,8
3500,0.772890769261594,0.0055356988431254,8
4000,0.724451072253505,0.00529976152268123,8
5000,0.651338868332732,0.00485673702393423,8
10000,0.462547191965933,0.00319257894463478,8
20000,0.328522831064694,0.00197344272151955,8
50000,0.209127458309322,0.0012463375745648,8
