"passengers","mean_error","sd_error","line"
200,0.288594743629759,0.0375090296455442,2
400,0.217793814530581,0.0227403582693605,2
600,0.163532135144281,0.0226732675999734,2
800,0.171993154837952,0.0144231246421392,2
1000,0.138552900462157,0.0106862664146408,2
1200,0.148706909818265,0.0225299958782321,2
1400,0.125707965358946,0.014644782699832,2
1600,0.104728630150525,0.0100616131719358,2
1800,0.0933611878840857,0.0161374230130419,2
2000,0.0968992592860032,0.0112271895351236,2
2200,0.113476283563602,0.0127579218362633,2
2400,0.0960177086958018,0.0118086598264261,2
2600,0.0893070847583515,0.0125272583703154,2
2800,0.0886617997536567,0.0102845006294301,2
3000,0.081545688396583,0.00865797141606714,2
3200,0.0804561119539565,0.00717724211218523,2
3400,0.0814809273211034,0.00951074123314235,2
3600,0.0713114673145784,0.00707306514684401,2
3800,0.0764837257850552,0.0082519533740829,2
4000,0.0797002485475756,0.00715408938507379,2
200,0.554452920244492,0.0217602337043659,3
400,0.41323259171565,0.0157537511542142,3
600,0.35806638598721,0.0121984576444665,3
800,0.324063807206175,0.0119498956616649,3
1000,0.305056616746191,0.00949052647539638,3
1200,0.291585526392106,0.0101346354790003,3
1400,0.280754501623806,0.00971363839651838,3
1600,0.272877145326526,0.00904942346670927,3
1800,0.264463463802991,0.00819296209171418,3
2000,0.258994869700306,0.00787522413970102,3
2200,0.253177813816468,0.00800854855667596,3
2400,0.259814073814443,0.00865220069225829,3
2600,0.25475283014923,0.00814301164463842,3
2800,0.247300294190253,0.0106923127926559,3
3000,0.246564917462412,0.00951290654590377,3
3200,0.251662179262658,0.00529291202966641,3
3400,0.254688727340264,0.00896267879557407,3
3600,0.252005131961188,0.00694572957496141,3
3800,0.235039176599131,0.00787893517553432,3
4000,0.240059660974183,0.00796244643206827,3
200,0.918653877665989,0.030847073746717,4
400,0.655367808159533,0.0214924298349743,4
600,0.553670141665824,0.0187840479565119,4
800,0.490485040101505,0.0156303078071655,4
1000,0.453478501323486,0.0145182727426736,4
1200,0.42816493285826,0.0126174493845988,4
1400,0.40755736990958,0.0109277507876976,4
1600,0.388970155272599,0.0123308614071192,4
1800,0.376490169408073,0.0111039424076301,4
2000,0.366195261658708,0.0104803780653542,4
2200,0.353596406158701,0.0101315581938822,4
2400,0.347787642230233,0.00947417618191383,4
2600,0.341714320143384,0.00961614554312861,4
2800,0.334961771963018,0.00857619017323066,4
3000,0.329542854947207,0.00838650319223151,4
3200,0.325519587210825,0.00813332071753004,4
3400,0.32136491815026,0.00757018324245145,4
3600,0.318183131405626,0.00785105502969093,4
3800,0.31456252474885,0.00762051775034692,4
4000,0.310479758116824,0.0074435507430425,4
