"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
1,147865599999,0.989249324884128,0.625115804252338,0.645537758567797,304449.245213235,249,1212
2,1.08601817711997,0.425432464659103,0.127151392389217,0.144741176378518,80751.69194571,1174,121
3,0.384842239424041,0.195460567524596,0.0411557396287816,0.0475393568280307,35640.5166057569,1213,1169
4,0.179664851795945,0.108067923271947,0.0192327864876157,0.0193137182088874,53211.8122442923,1213,1169
5,0.0809949073006824,0.0707508632064667,0.0131587354253925,0.0131587354253924,63420.5499659021,1213,1169
6,0.040342138980177,0.0442606582137156,0.00964855017320677,0.00964855017320656,67506.7060411094,1213,1169
7,0.0254484238374212,0.0288164542266211,0.00773268875347429,0.00774708178659545,70292.8142444005,1213,1169
8,0.0173629091803428,0.0197529582914908,0.00634192246151687,0.00677709138797955,73087.6259730978,1213,1169
9,0.01245857711926,0.0134624638698211,0.00528835644160681,0.00587484199022263,75295.2874149331,1213,1169
10,0.00916320748024825,0.00899751919652212,0.00453449622714639,0.0050873104367655,76713.6782565014,1213,1169
11,0.00680748214101454,0.00599407215061919,0.00399628094125274,0.00443018420410769,76770.9641670336,1213,1169
12,0.00541382032530995,0.00408198810942445,0.00353504730293793,0.00382867584426689,74074.5641762868,1213,1169
13,0.00546465984995621,0.00294845881367015,0.00292837076898341,0.00301369273125749,63857.9203578192,1213,1169
14,0.0113971155602153,0.00314720471853219,0.00151431422692435,0.00151431422692436,17851.8629190256,1213,1169
15,0.0151793245117697,0.00342352804774106,0.00110469419927139,0.00110469419927128,2660.57676258557,1211,12
16,0.0146264366733523,0.00269833865853907,0.000722660033521573,0.000722660033521625,1608.34155226813,1211,12
17,0.00649528151805512,0.00177742915863511,0.000582776221408503,0.000582776221408211,1463.1758977308,1178,1194
18,0.00305879301352615,0.00126213566477524,0.000459871209145181,0.000459871209145037,1214.85377526803,1178,1194
19,0.00216758411314876,0.000920954540340824,0.000365476510406283,0.000365476510406149,905.864265862566,1178,1194
20,0.00165341958151726,0.000714681216383341,0.000295750770412813,0.000295750770412742,677.005604652767,1178,1194
21,0.00127627506327169,0.000565694339689115,0.000243734758187313,0.000243734758186955,515.446428781834,1178,1194
22,0.00100460060742945,0.000453544524073719,0.000204726803093523,0.000204726803093583,400.200659197509,1178,1194
23,0.000808391749862471,0.000372372098774569,0.000174262998396007,0.000174262998395665,315.634194117388,1178,1194
24,0.000663777854851993,0.000310233135895073,0.000150234406269875,0.000150234406269828,282.617392829302,866,1041
25,0.000554722837800373,0.00026116959848152,0.000130822494891177,0.000130822494891116,268.551531719574,866,1041
26,0.000470384161342744,0.000222276384802814,0.000114822816374577,0.000114822816374553,253.764362146248,866,1041
27,0.000400091733957768,0.000190324346596092,0.000101299575936134,0.000101299575936017,238.432379633991,866,1041
28,0.000340743011769786,0.000163748846173271,8.95862170909738e-05,8.95862170908552e-05,222.758682882396,866,1041
29,0.000296044193296579,0.000142687081844793,7.95430310016104e-05,7.9543031001633e-05,206.945991390761,866,1041
30,0.000258652011162764,0.000125117668442952,7.05827366098744e-05,7.05827366097412e-05,191.186927612583,866,1041
31,0.000227160867459119,0.000110015543275958,6.25165233041622e-05,6.25165233037761e-05,175.67354337265,866,1041
32,0.000199848251521865,9.69616216579356e-05,5.52594067528312e-05,5.52594067524858e-05,160.580914527134,866,1041
33,0.000175854436633518,8.56013755977832e-05,4.87484830528336e-05,4.87484830529048e-05,146.060071350693,866,1041
34,0.00015476831696462,7.56916949294664e-05,4.29277996779046e-05,4.29277996778423e-05,132.238159785626,866,1041
35,0.000136160201619162,6.68574381121518e-05,3.77115037585745e-05,3.77115037584881e-05,119.217355851596,866,1041
