"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S1_A_MALAD_N","Maladière",1,"A",164558.14,0,90.3112916908514,426.9982799,164757.870872727,0,165056.646,0,0,298.775,0.181,0,0,NA,0,NA
"S1_A_MTOIE_E","Montoie",1,"A",136236.45,12705.396,83.5486188584944,35.4313747,136436.180872727,12505.6651272727,136683.639,0,0,247.458,0.181,1247.055,12336.127,98.644,1077.517,8.616
"S1_A_BATEL_E","Batelière",1,"A",203045.03,13408.982,59.2910604302419,30.7762506,203244.760872727,13209.2511272727,176155.872,27407.751,13.485,318.862,0.157,13172.164,0,0,-37.087,-0.281
"S1_A_RTCOU_E","Riant-Cour",1,"A",156015.31,24909.402,56.8912267392565,31.8969919,156215.040872727,24709.6711272727,156498.283,0,0,283.242,0.181,24640.294,0,0,-69.377,-0.281
"S1_A_CEDRE_E","Cèdres",1,"A",164056.86,13870.56,82.071834961025,44.5824892,164256.590872727,13670.8291272727,164554.426,0,0,297.835,0.181,1363.245,20650.954,151.059,8343.37,61.03
"S1_A_BGARD_E","Beauregard",1,"A",186592.9,33794.758,64.187337166472,37.2596766,186792.630872727,33595.0271272727,187130.876,0,0,338.245,0.181,33500.703,0,0,-94.324,-0.281
"S1_A_COUR_N","Cour",1,"A",90915.1,35646.535,43.4625960372018,31.0705013,91114.8308727273,35446.8041272727,91279.822,0,0,164.991,0.181,35347.281,0,0,-99.523,-0.281
"S1_A_DPLES_N","Dapples",1,"A",64682.2,23981.102,66.194693044434,28.3212922,64881.9308727273,23781.3711272727,64999.42,0,0,117.489,0.181,23714.601,0,0,-66.77,-0.281
"S1_A_EPTES_N","Epinettes",1,"A",96457.59,52692.742,128.645801697186,45.161833,96657.3208727273,52493.0111272727,96832.299,0,0,174.978,0.181,5234.563,49230.467,93.785,1972.019,3.757
"S1_A_GARE_N","Lausanne-Gare",1,"A",808822.4,597259.1,126.641971495389,83.9685379,809022.130872727,597059.369127273,626986.391,183172.067,22.641,1136.327,0.14,595383.015,0,0,-1676.354,-0.281
"S1_A_MIRAB_N","Mirabeau",1,"A",51382.758,71936.69,98.6104213446044,32.5221286,51582.4888727273,71736.9591272727,17506.484,34107.694,66.123,31.689,0.061,7153.554,79028.005,110.164,14444.6,20.136
"S1_A_GTE_N","Georgette",1,"A",107652.36,464362.8,165.94081394581,63.1915863,107852.090872727,464163.069127273,49423.327,58518.384,54.258,89.62,0.083,453083.305,9804.152,2.112,-1275.612,-0.275
"S1_A_SF_O","St-François",1,"A",265922.03,314327.84,140.827136465324,75.9566174,266121.760872727,314128.109127273,170230.419,96163.953,36.135,272.611,0.102,307068.424,6195.109,1.972,-864.576,-0.275
"S1_A_B-AIR_N","Bel-Air",1,"A",462329.94,223589.14,115.47000156533,75.3161521,462529.670872727,223389.409127273,304959.499,158120.102,34.186,549.93,0.119,222762.202,0,0,-627.207,-0.281
"S1_A_RNEUV_N","Rue Neuve",1,"A",511095.16,99291.81,69.7816710992908,79.864678,511294.890872727,99092.0791272727,512219.844,0,0,924.953,0.181,15072.05,83977.647,84.747,-42.382,-0.043
"S1_A_VAL_N","Valentin",1,"A",93568.21,121368.72,85.8349952039974,42.813134,93767.9408727273,121168.989127273,91957.52,1976.459,2.108,166.038,0.177,120828.785,0,0,-340.204,-0.281
"S1_A_DRCOL_N","Druey-Collège",1,"A",42125.086,402685.06,64.5148421969579,41.601151,42324.8168727273,402485.329127273,42401.322,0,0,76.505,0.181,401355.277,0,0,-1130.052,-0.281
"S1_A_OIS_N","Oiseaux",1,"A",50781.453,275775.9,78.2546638897505,37.4729401,50981.1838727273,275576.169127273,51073.279,0,0,92.095,0.181,274782.541,19.952,0.007,-773.676,-0.281
"S1_A_CAS_W","Casernes",1,"A",68663.95,175742.62,52.2414404432133,37.0078433,68863.6808727273,175542.889127273,6898.802,63056.989,91.568,1092.11,1.586,175050.02,0,0,-492.869,-0.281
"S1_A_SO_N","Stade Olympique",1,"A",14205.844,128369.91,48.7702942219071,28.555169,14405.5748727273,128170.179127273,14431.585,0,0,26.01,0.181,127810.318,0,0,-359.861,-0.281
"S1_A_VELOD_N","Parc Vélodrome",1,"A",3997.4219,142700.69,58.3522022332506,28.07134,4197.15277272727,142500.959127273,4204.731,0,0,7.578,0.181,142100.861,0,0,-400.098,-0.281
"S1_A_BGENT_N","Bois-Gentil",1,"A",4931.1157,248882.31,102.737432645187,33.507843,5130.84657272727,248682.579127273,5140.111,0,0,9.264,0.181,247984.357,0,0,-698.222,-0.281
"S1_A_BLECH_E","Blécherette",1,"A",0,279523.4,NA,16.313502,0,279323.669127273,0,0,NA,0,NA,278539.416,0,0,-784.253,-0.281
"S1_R_BLECH_E","Blécherette",1,"R",312235.28,0,122.11643157919,318.2832846,312415.190809524,0,312982.876,0,0,567.685,0.182,0,0,NA,0,NA
"S1_R_BGENT_S","Bois-Gentil",1,"R",220668.67,10466.658,51.6538824341424,37.7676661,220848.580809524,10286.7471904762,221249.839,0,0,401.258,0.182,10257.865,0,0,-28.882,-0.281
"S1_R_VELOD_S","Parc Vélodrome",1,"R",130089.84,12243.911,60.462326245052,32.1864719,130269.750809524,12064.0001904762,130506.42,0,0,236.669,0.182,12030.128,0,0,-33.872,-0.281
