"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
1,147865599999,1.20592513232832,0.988001053602568,1.02033854627046,170.071930863373,963,3
2,1.70976827041962,0.462983233017669,0.187054236638443,0.195679906335269,218168.986192776,1174,121
3,0.573312465456771,0.157843534568957,0.047366657513783,0.0473666575137829,59587.4086473725,1174,121
4,0.191549495676373,0.060344513837691,0.0170180359672817,0.0170180359672817,17651.1767265827,1211,41
5,0.0865259247682949,0.0317435380761926,0.00960352383512375,0.00960352383512377,19393.5163452227,1213,1169
6,0.0393934502972222,0.0195946340545116,0.00643021625885669,0.00699841212207795,23231.395929501,1213,1169
7,0.0238571330581235,0.0130839074011179,0.00474779730645808,0.00567757417596016,24746.8622156328,1213,1169
8,0.0153794774624721,0.00891300486540058,0.00359166775153728,0.0045810204868931,24732.4324191022,1213,1169
9,0.0107515515879542,0.00639255776850548,0.00282335528673998,0.00365258473410181,23784.6432980215,1213,1169
10,0.00807669539788066,0.00465017161442209,0.002248475344187,0.00277299461447039,20707.8599521864,1213,1169
11,0.00696733756600189,0.00352922378046618,0.00163573571735927,0.0018550433038062,12137.0853110065,1213,1169
12,0.00823427517711858,0.0031039272916962,0.0010698443087014,0.0010698443087014,2930.4157212,1211,12
13,0.00953509050841561,0.00278408052748217,0.000859182860966791,0.000859182860966752,2174.36259520962,1211,12
14,0.00685847320272499,0.00203107639658563,0.000574947228211419,0.000697664563342226,1379.97723049138,1211,12
15,0.00393622434423621,0.00130675203102735,0.000385320386915093,0.00043227072716017,949.492086367318,1211,12
16,0.00253729129088638,0.000906513205412089,0.00027275310286853,0.000272753102868412,648.392877183127,1211,12
17,0.00167138818891916,0.000631811084792616,0.000189196910133152,0.00018919691013309,440.989461120815,1211,12
18,0.00116182929104881,0.000441137774975779,0.000130004535843284,0.000130004535843262,296.154478791737,1211,12
19,0.00083335199717842,0.000307054916015138,8.84238474417805e-05,8.84238474416187e-05,197.33463938364,1211,12
20,0.000621316009326275,0.000213509445363849,5.97255812604279e-05,5.97255812604078e-05,129.467736803825,1211,12
21,0.000483377024995146,0.000149920040079393,4.05408649586218e-05,4.05408649584677e-05,83.0867892053211,1211,12
22,0.000393507533511863,0.000127083062407696,2.80103017068753e-05,2.80103017067708e-05,52.7500641085062,1211,12
23,0.000313076526476928,0.000108871264843557,1.94124869880304e-05,3.32598177696047e-05,58.7569783729432,607,1194
24,0.000251053396084598,8.38903372267996e-05,1.36028584733094e-05,3.36077388690996e-05,53.0917846017492,607,1194
