"Lines","mean_error","sd_error","param"
2,0.39705872922926,0.0628656742726984,0.001
3,0.41133757235763,0.0149716488800503,0.001
4,0.391530157878278,0.0136776122735196,0.001
5,0.399533646817937,0.00928551985455435,0.001
6,0.392080537962987,0.00598865637699684,0.001
7,0.380936449025921,0.00297158294450647,0.001
8,0.37750013912201,0.00277282470980711,0.001
2,0.396927351090844,0.0628847421329901,0.002
3,0.411138722385255,0.0149762808961215,0.002
4,0.391372546036563,0.0136644813644096,0.002
5,0.399412975507509,0.00926980483324306,0.002
6,0.391955796835695,0.00599118048924999,0.002
7,0.380846585322699,0.00297568661132317,0.002
8,0.377466869906889,0.00277970467694047,0.002
2,0.396796009084194,0.0629038280628821,0.003
3,0.410946076627445,0.0149803675429752,0.003
4,0.391212703852509,0.0136521630249609,0.003
5,0.399291520153322,0.00925197483337895,0.003
6,0.391831798934073,0.00599347921866348,0.003
7,0.380759023024925,0.00297922690699339,0.003
8,0.37743479224308,0.00278670727632478,0.003
2,0.396664706620526,0.0629229313570942,0.004
3,0.410758260749127,0.0149813217956795,0.004
4,0.391052272814137,0.013640074372066,0.004
5,0.399172687201908,0.00923297998972875,0.004
6,0.391707218713504,0.00599492278754577,0.004
7,0.380671735060586,0.00298289389008056,0.004
8,0.377404406186482,0.00279234444396569,0.004
2,0.396533443638602,0.0629420519607736,0.005
3,0.410572734873015,0.0149837335526535,0.005
4,0.390892337814868,0.013627825068472,0.005
5,0.399055438089251,0.00921357545284463,0.005
6,0.391583540854103,0.00599589146098269,0.005
7,0.380582580672342,0.00298723071979975,0.005
8,0.377375274886554,0.00279758185707529,0.005
2,0.396402220076422,0.0629611898195171,0.006
3,0.410385004937382,0.0149893824981218,0.006
4,0.390730453379141,0.0136150591514067,0.006
5,0.398938745324564,0.00919395868917107,0.006
6,0.391459423457453,0.00599712340764807,0.006
7,0.380493971710589,0.00299153094392394,0.006
8,0.377346834765876,0.0028031943794493,0.006
2,0.396271031238556,0.0629803436904958,0.007
3,0.410198324169089,0.0149950398885954,0.007
4,0.390566174378458,0.0136021642159269,0.007
5,0.398819965791484,0.00917503160908492,0.007
6,0.391332798581536,0.00599930544298693,0.007
7,0.380406695786632,0.00299545171828047,0.007
8,0.377321093694571,0.00280871790744546,0.007
2,0.396139898043929,0.06299951431369,0.008
3,0.410014181559438,0.0150013428791752,0.008
4,0.390399433637863,0.0135891977326955,0.008
5,0.39870119190103,0.00915624970685156,0.008
6,0.391203445492213,0.00600217197019416,0.008
7,0.380319776665096,0.00299942762259406,0.008
8,0.377297142084852,0.00281435420112624,0.008
2,0.396001548353574,0.0630208698171136,0.009
3,0.409830501288359,0.0150078437284145,0.009
4,0.39023320031266,0.0135762730360168,0.009
5,0.398580859460157,0.00913702728852661,0.009
6,0.391073915965971,0.00600490947617212,0.009
7,0.380233452796782,0.00300404519549697,0.009
8,0.377273182044742,0.00282059618939995,0.009
