"1-AOU_E","1-AOU_O","1-AOU_S","1-MAI_N","1-MAI_S","20P1_O ","20P2_O ","20P3_O ","20P4_O ","20P5_E ","20P6_O ","3CHAS_E","3CHAS_O","ABEIL_N","ABEIL_S","ALE_O  ","ALLIE_N","ALLIE_S","ALPES_N","ALPES_S","ANCPO_E","ANCPO_O","APER_N ","ARC-C_E","ARC-C_O","ARGAN_N","ARGAN_S","AUBEP_N","AUBER_E","AUBER_N","AUBER_S","AVNIR_O","B-AIR_C","B-AIR_D","B-AIR_N","B-AIR_O","B-RIV_N","B-RIV_S","BALAN_N","BALAN_S","BALLE_S","BARRE_N","BASS_F ","BASS_R ","BATEL_E","BATEL_O","BAUM_N ","BAUM_S ","BDESS_D","BDESS_M","BDESS_N","BDESS_S","BELMT_E","BELMT_O","BELVO_B","BELVO_D","BELVO_M","BELVO_N","BELVO_S","BENJC_N","BENJC_S","BERG_E ","BERG_O ","BER_B  ","BESS_B ","BESS_D ","BESS_M ","BESS_N ","BESS_S ","BETHA_N","BETHA_S","BETHU_E","BETHU_N","BETHU_O","BGARD_E","BGARD_S","BGENT_N","BGENT_S","BGNON_E","BGNON_O","BIOLL_N","BIOLL_S","BLECH_E","BLECH_N","BLESS_E","BLESS_O","BLIEU_E","BLIEU_O","BLIJO_D","BLIJO_E","BLIJO_M","BLIJO_O","BLVDR_E","BLVDR_O","BMURA_B","BNEN_E ","BNEN_O ","BNETT_B","BNETT_F","BNETT_R"
0,4,69,455,455,1015,1526,1224,916,978,1235,2803,2797,2480,2441,967,1835,1831,1624,1690,3131,3141,1224,617,626,825,797,1223,3789,3895,3900,225,1011,1007,1048,1015,1975,1808,2655,2647,2652,1599,948,994,1104,1118,726,945,642,643,626,672,2464,2439,1685,1714,1773,1732,1763,1613,1218,1570,1565,3707,1415,1553,1562,1422,1415,1455,1470,1808,1896,1874,1309,1294,1926,1939,831,858,2378,2380,2053,2049,2465,2527,1320,1326,1322,1332,1331,1333,1267,1292,2549,642,624,842,883,835
4,0,72,458,458,1012,1523,1221,913,975,1232,2803,2797,2480,2441,967,1835,1831,1624,1690,3131,3141,1221,620,629,822,794,1223,3789,3895,3900,228,1011,1007,1048,1015,1972,1808,2655,2647,2652,1599,945,991,1101,1115,726,945,642,643,626,672,2464,2439,1685,1714,1773,1732,1763,1613,1218,1570,1565,3707,1415,1553,1562,1422,1415,1455,1470,1808,1896,1874,1306,1291,1926,1939,831,858,2378,2380,2053,2049,2465,2527,1320,1326,1322,1332,1331,1333,1267,1292,2549,639,621,839,880,832
67,70,0,476,476,997,1508,1206,898,960,1217,2869,2863,2546,2507,1033,1901,1897,1690,1756,3197,3207,1206,638,647,807,779,1289,3855,3961,3966,246,1077,1073,1114,1081,1957,1966,2721,2713,2718,1665,930,976,1086,1100,792,854,708,709,692,738,2814,2789,1751,1780,1839,1798,1829,1679,1284,1636,1631,3773,1481,1619,1628,1488,1481,1521,1536,1874,1962,1940,1291,1276,1992,2005,755,763,2444,2446,2119,2115,2815,2877,1386,1392,1388,1398,1397,1399,1333,1358,2615,624,606,824,865,817
456,458,478,0,NA,1339,1850,1548,1240,1302,1507,3299,3293,2934,2895,1463,2451,2447,2078,2144,3627,3637,1548,675,684,1149,1121,1311,4285,4391,4396,294,1465,1461,1502,1469,2264,2262,3109,3101,3106,2053,1272,1318,1428,1442,713,648,345,346,329,375,3156,3131,2301,2330,2389,2348,2379,2067,1672,1628,1540,4143,1869,2007,2016,1876,1869,1337,1301,2322,2410,2388,1633,1618,2380,2393,534,561,2832,2834,2567,2563,3157,3219,1816,1822,1818,1828,1827,1829,1763,1788,3003,966,948,1166,1207,1159
456,458,478,NA,0,1339,1850,1548,1240,1302,1507,3299,3293,2934,2895,1463,2451,2447,2078,2144,3627,3637,1548,675,684,1149,1121,1311,4285,4391,4396,294,1465,1461,1502,1469,2264,2262,3109,3101,3106,2053,1272,1318,1428,1442,713,648,345,346,329,375,3156,3131,2301,2330,2389,2348,2379,2067,1672,1628,1540,4143,1869,2007,2016,1876,1869,1337,1301,2322,2410,2388,1633,1618,2380,2393,534,561,2832,2834,2567,2563,3157,3219,1816,1822,1818,1828,1827,1829,1763,1788,3003,966,948,1166,1207,1159
1194,1191,1174,1517,1517,0,724,750,346,464,580,2698,2692,2754,2715,1927,2210,2206,1841,1863,3026,3036,750,2169,2178,255,227,1643,3684,3790,3795,1356,1712,1786,1769,1794,2005,2003,2970,2962,3327,1913,931,977,1115,1129,2301,2363,2157,2158,2141,2187,2843,2818,2180,2209,2268,2227,2258,1951,1988,2129,2120,3902,1620,1878,1887,1627,1620,1830,1845,2183,2271,2249,1320,1305,2541,2554,2264,2272,3053,3055,2428,2424,2844,2906,1916,1894,1902,2130,1911,2131,1519,1541,2984,642,667,426,443,506
1706,1703,1686,2029,2029,725,0,520,860,982,621,2894,2888,2950,2911,2123,2406,2402,2037,2059,3222,3232,520,2340,2349,769,741,1839,3880,3986,3991,1868,1908,1982,1965,1990,2201,2199,3166,3158,3523,2109,719,765,1521,1535,2497,2559,2353,2354,2337,2383,3249,3224,2376,2405,2464,2423,2454,2147,2184,2325,2316,4098,1816,2074,2083,1823,1816,2026,2041,2379,2467,2445,1726,1711,2737,2750,2460,2468,3249,3251,2624,2620,3250,3312,2112,2090,2098,2326,2107,2327,1715,1737,3180,1048,1073,832,849,912
1224,1221,1204,1547,1547,753,520,0,404,554,904,2429,2423,2425,2386,1658,1821,1817,1512,1534,2757,2767,NA,1575,1584,496,525,1924,3415,3521,3526,1386,1443,1517,1500,1525,2059,2051,2701,2693,3058,1958,376,422,1622,1636,1912,1974,1588,1589,1572,1618,3350,3325,1911,1940,1999,1958,1989,1682,1719,1740,1731,3633,1674,1609,1618,1681,1674,2041,2056,1794,1882,1860,1827,1812,2332,2345,1875,1883,2784,2786,2039,2035,3351,3413,1527,1505,1513,1533,1522,1534,1250,1272,2715,969,994,753,770,833
1098,1095,1078,1421,1421,350,862,403,0,164,852,2391,2385,2387,2348,1620,1783,1779,1474,1496,2719,2729,403,1717,1726,93,122,1886,3377,3483,3488,1260,1405,1479,1462,1487,2021,2013,2663,2655,3020,1920,624,798,1340,1354,1874,1936,1730,1731,1714,1760,3312,3287,1873,1902,1961,1920,1951,1644,1681,1702,1693,3595,1636,1571,1580,1643,1636,2003,2018,1756,1844,1822,1545,1530,2294,2307,1837,1845,2746,2748,2001,1997,3313,3375,1489,1467,1475,1495,1484,1496,1212,1234,2677,931,956,715,732,795
1098,1095,1078,1421,1421,466,922,555,164,0,719,2267,2261,2263,2224,1496,1659,1655,1350,1372,2595,2605,555,1593,1602,218,239,1762,3253,3359,3364,1260,1281,1355,1338,1363,1897,1889,2539,2531,2896,1796,500,546,1396,1410,1750,1812,1606,1607,1590,1636,3188,3163,1749,1778,1837,1796,1827,1520,1557,1578,1569,3471,1512,1447,1456,1519,1512,1879,1894,1632,1720,1698,1601,1586,2170,2183,1713,1721,2622,2624,1877,1873,3189,3251,1365,1343,1351,1371,1360,1372,1088,1110,2553,807,832,591,608,671
