"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"libelle_arret_theo2";"sequence_theo";"montees";"descentes";"geom_arret"
1;"A";"MALAD_N";"Maladière";1;164558,14;0;c(6.60486888885498, 46.517520904541)
1;"A";"MTOIE_E";"Montoie";2;136236,45;12705,396;c(6.60879516601562, 46.5181350708008)
1;"A";"BATEL_E";"Batelière";3;203045,03;13408,982;c(6.61275720596313, 46.5163726806641)
1;"A";"RTCOU_E";"Riant-Cour";4;156015,31;24909,402;c(6.61647081375122, 46.515510559082)
1;"A";"CEDRE_E";"Cèdres";5;164056,86;13870,56;c(6.61914110183716, 46.5147476196289)
1;"A";"BGARD_E";"Beauregard";6;186592,9;33794,758;c(6.62364482879639, 46.5124778747559)
1;"A";"COUR_N ";"Cour";7;90915,1;35646,535;c(6.62587118148804, 46.5126647949219)
1;"A";"DPLES_N";"Dapples";8;64682,2;23981,102;c(6.62555599212646, 46.5144882202148)
1;"A";"EPTES_N";"Epinettes";9;96457,59;52692,742;c(6.62588405609131, 46.5161170959473)
1;"A";"GARE_N ";"Lausanne-Gare";10;808822,4;597259,1;c(6.62902021408081, 46.5172729492188)
1;"A";"MIRAB_N";"Mirabeau";11;51382,758;71936,69;c(6.634850025177, 46.5169372558594)
1;"A";"GTE_N  ";"Georgette";12;107652,36;464362,8;c(6.63794422149658, 46.517463684082)
1;"A";"SF_O   ";"St-François";13;265922,03;314327,84;c(6.63294792175293, 46.5195503234863)
1;"A";"B-AIR_N";"Bel-Air";14;462329,94;223589,14;c(6.62915277481079, 46.5223045349121)
1;"A";"RNEUV_N";"Rue Neuve";15;511095,16;99291,81;c(6.6308970451355, 46.523323059082)
1;"A";"VAL_N  ";"Valentin";16;93568,21;121368,72;c(6.63141298294067, 46.5245513916016)
1;"A";"DRCOL_N";"Druey-Collège";17;42125,086;402685,06;c(6.63079690933228, 46.5282707214355)
1;"A";"OIS_N  ";"Oiseaux";18;50781,453;275775,9;c(6.62955904006958, 46.5308952331543)
1;"A";"CAS_W  ";"Casernes";19;68663,95;175742,62;c(6.62766408920288, 46.5320625305176)
1;"A";"SO_N   ";"Stade Olympique";20;14205,844;128369,91;c(6.62598991394043, 46.5341644287109)
1;"A";"VELOD_N";"Parc Vélodrome";21;3997,4219;142700,69;c(6.623703956604, 46.5362167358398)
1;"A";"BGENT_N";"Bois-Gentil";22;4931,1157;248882,31;c(6.62224578857422, 46.538688659668)
1;"A";"BLECH_E";"Blécherette";23;0;279523,4;c(6.62103223800659, 46.5422172546387)
